accent,count
southern,8492
welsh,2849
northern,2847
scottish,894
midlands,696
irish,462
american,373
spanish,77
british,65
mandarin,55
french,52
dutch,46
arabic,45
portuguese,44
canadian,44
russian,40
turkish,36
german,35
polish,34
english,34
italian,33
australian,32
cantonese,23
swedish,20
hindi,18
bulgarian,18
tagalog,18
bengali,17
thai,15
romanian,15
urdu,14
greek,14
nepali,13
ukrainian,11
punjabi,10
kurdish,9
hungarian,9
hebrew,9
gujarati,9
kiswahili,8
finnish,8
hausa,8
danish,8
kiwi,8
lithuanian,6
tamil,6
ga,6
krio,6
croatian,5
malay,5
afrikaans,5
twi,5
yiddish,5
yoruba,4
vlaams,4
catalan,4
estonian,4
south african,4
kikuyu,4
latvian,3
igbo,3
ibibio,3
fijian,3
mongolian,3
mende,3
kazakh,3
marathi,3
fanti,3
xiang,3
uyghur,3
malayalam,3
bafang,2
ewe,2
rotuman,2
slovenian,2
slovak,2
pashto,2
mauritian,2
maltese,2
shona,2
gusii,2
amazigh,2
luo,2
tswana,2
ngemba,2
korean,2
satawalese,2
chaldean,2
ganda,2
bavarian,2
telugu,2
filipino,2
burmese,2
basque,2
oriya,2
farsi,1
nama,1
tibetan,1
teochew,1
bamun,1
malagasy,1
newari,1
kikongo,1
yapese,1
mizo,1
pohnpeian,1
luxembourgeois,1
wu,1
lamotrekese,1
rwanda,1
sa'a,1
sesotho,1
zulu,1
sinhala,1
konkani,1
kannada,1
sylheti,1
chittagonian,1
ashanti,1
akan,1
mortlockese,1
temne,1
kanuri,1
mandingo,1
yakut,1
khmer,1
tatar,1
bai,1
edo,1
ebira,1
hainanese,1
garifuna,1
kru,1
frisian,1
sardinian,1
hindko,1
gan,1
sindhi,1
naxi,1
armenian,1
taishan,1
japanese,1
ilonggo,1
kabyle,1
nandi,1
yupik,1
cebuano,1
kalanga,1
chamorro,1
carolinian,1
shan,1
chichewa,1
